itemLabel,birthplaceLabel,birthdate,coord,deathplaceLabel,praenomenLabel,gensLabel,cognomenLabel,fatherLabel,motherLabel
Marcus Postumius Albinus Regillensis,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2110222170,Marcus,Postumia gens,Regillensis,Aulus Postumius Albus Regillensis,t2110222200
Potitus Valerius Messalla,ancient Rome,-0069-01-01T00:00:00Z,Point(12.48 41.89),t2266868830,Potitus,Valeria gens,Messalla,Marcus Valerius Messalla Rufus,t2266868829
Marcus Poetelius Libo,ancient Rome,-0349-01-01T00:00:00Z,Point(12.48 41.89),t2164137148,Marcus,Poetelia gens,,t2164137151,t2164137153
Marcus Fabius Dorsuo,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2119192024,Marcus,Fabia gens,,t2119192023,t2119192025
Lucius Titinius Pansa Saccus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164145526,Lucius,Titinia gens,Pansa,t2164145530,t2164145531
Lucius Titinius Pansa Saccus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164145526,Lucius,Titinia gens,Saccus,t2164145530,t2164145531
Gnaeus Cornelius Cossus,Rome,-0500-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2125300958,Gnaeus,Cornelia gens,,Publius Cornelius Cossus,t2125300955
Caeso Fabius Ambustus,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2077797721,Caeso,Fabia gens,Ambustus,Marcus Fabius Vibulanus,t2077797722
Publius Cornelius Maluginensis,Rome,-0450-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2228257125,Publius,Cornelia gens,Maluginensis,Marcus Cornelius Maluginensis,t2228257127
Diomedes Grammaticus,Byzantine Empire,0400-01-01T00:00:00Z,Point(28.98472222 41.01527778),,,,,,
Aulus Verginius Tricostus Caeliomontanus,Rome,-0500-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119192184,Aulus,Verginia gens,Caeliomontanus,Aulus Verginius Tricostus Caeliomontanus,t2119192190
Aulus Verginius Tricostus Caeliomontanus,Rome,-0500-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119192184,Aulus,Verginia gens,Tricostus,Aulus Verginius Tricostus Caeliomontanus,t2119192190
Proculus Geganius Macerinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2269752049,Proculus,Gegania gens,Macerinus,t2269752046,t2269752047
Publius Furius Medullinus Fusus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2160190036,Publius,Furia gens,,t2160190035,t2160190037
Quintus Servilius Ahala,ancient Rome,t2129002488,Point(12.48 41.89),t2129002496,Quintus,Servilia gens,Ahala,t2129002473,t2129002501
Publius Cornelius Arvina,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2267681151,Publius,Cornelia gens,,Aulus Cornelius Cossus Arvina,t2267681158
Spurius Veturius Crassus Cicurinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2129002495,Spurius,Veturia gens,Cicurinus,t2129002467,t2129002503
Spurius Veturius Crassus Cicurinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2129002495,Spurius,Veturia gens,Crassus,t2129002467,t2129002503
Maximinus,Pécs,0350-01-01T00:00:00Z,Point(18.233055555 46.070833333),,,Flavia gens,,,
Publius Vitellius the Younger,Nuceria Alfaterna,-0100-01-01T00:00:00Z,Point(14.633333333 40.75),,Publius,,,Publius Vitellius the Elder,
Gaius Rubellius Blandus,Tivoli,-0100-01-01T00:00:00Z,Point(12.8 41.966666666),,Gaius,,,,
Lucius Furius Camillus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2125312956,Lucius,Furia gens,,t2125312957,t2125312953
Publius Mummius Sisenna,Hispania Baetica,0050-01-01T00:00:00Z,Point(-5.007223 37.849462),,Publius,,,,
Tillius Cimber,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),Philippi,Lucius,Tillia gens,Cimber,t2110222296,t2110222295
Atia,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Atia gens,Caesonia,Marcus Atius Balbus,Julia Minor
Servilia,Rome,-0103-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Servilia gens,,Quintus Servilius Caepio,Livia
Justa Grata Honoria,Ravenna,0417-01-01T00:00:00Z,Point(12.199444444 44.417777777),Rome,,,,Constantius III,Galla Placidia
Licinia Eudoxia,Constantinople,0422-01-01T00:00:00Z,Point(28.976018 41.01224),Constantinople,,Licinia gens,,Theodosius II,Aelia Eudocia
Julia Soaemias,Homs,0180-01-01T00:00:00Z,Point(36.716666666 34.733333333),Rome,,Julia gens,,Julius Avitus,Julia Maesa
Aurelia,Rome,-0119-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Aurelia gens,,Lucius Aurelius Cotta,Rutilia
Fulvia,Rome,-0076-01-01T00:00:00Z,Point(12.482777777 41.893055555),Sicyon,,Fulvia gens,,Marcus Fulvius Bambalio,Sempronia
Bruttia Crispina,Rome,0164-01-01T00:00:00Z,Point(12.482777777 41.893055555),Capri,,Bruttia gens,,Gaius Bruttius Praesens,
Antonia Major,Rome,-0038-01-01T00:00:00Z,Point(12.482777777 41.893055555),,,Antonia gens,,Mark Antony,Octavia the Younger
Cornelia,ancient Rome,-0188-01-01T00:00:00Z,Point(12.48 41.89),t2167641730,,Cornelia gens,,Scipio Africanus,Aemilia Tertia
Cornelia,ancient Rome,-0188-01-01T00:00:00Z,Point(12.48 41.89),t2167641732,,Cornelia gens,,Scipio Africanus,Aemilia Tertia
Ausonius,Bordeaux,0310-01-01T00:00:00Z,Point(-0.579444444 44.837777777),Langon,Decimus,,,Julius Ausonius,
Livilla,Lyon,-0012-01-01T00:00:00Z,Point(4.841388888 45.758888888),Rome,,Claudia gens,,Nero Claudius Drusus,Antonia Minor
Faustina the Elder,ancient Rome,0100-01-01T00:00:00Z,Point(12.48 41.89),,,Galeria gens,,Marcus Annius Verus,Rupilia
Faustina the Elder,ancient Rome,0105-02-16T00:00:00Z,Point(12.48 41.89),,,Galeria gens,,Marcus Annius Verus,Rupilia
Pompeia,Rome,t2245358035,Point(12.482777777 41.893055555),t2245358042,,Pompeia gens,,Quintus Pompeius Rufus,Cornelia
Julia,Rome,-0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Julia gens,,Julius Caesar,Cornelia
Julia Avita Mamaea,Homs,0180-01-01T00:00:00Z,Point(36.716666666 34.733333333),Mainz,,Julia gens,,Julius Avitus,Julia Maesa
Cornelia,Rome,-0096-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Cornelia gens,,Lucius Cornelius Cinna,Annia
Julia Drusilla,Rome,0039-09-02T00:00:00Z,Point(12.482777777 41.893055555),Palatine Hill,,Julia gens,Drusilla,Caligula,Milonia Caesonia
Aelia Flaccilla,Spain,0356-03-31T00:00:00Z,Point(-3.5 40.2),Constantinople,,Aelia gens,,Flavius Claudius Antonius,
Julia the Younger,Gaul,-0018-01-01T00:00:00Z,Point(2.9 46.5),Isole Tremiti,,Vipsania gens,Agrippina,Marcus Vipsanius Agrippa,Julia the Elder
Faustina the Younger,Rome,0125-02-16T00:00:00Z,Point(12.482777777 41.893055555),Faustinopolis,,Galeria gens,,Antoninus Pius,Faustina the Elder
Galla,Constantinople,0375-01-01T00:00:00Z,Point(28.976018 41.01224),,,Aelia gens,,Valentinian I,Justina
Galla,Constantinople,t2256133424,Point(28.976018 41.01224),,,Aelia gens,,Valentinian I,Justina
Mary of Egypt,Alexandria,0344-01-01T00:00:00Z,Point(29.916666666 31.2),Palestine,,Maria gens,,,
Claudia,ancient Rome,-0050-01-01T00:00:00Z,Point(12.48 41.89),t2240071355,,Claudia gens,,Publius Clodius Pulcher,Fulvia
Julia Livilla,Lesbos,0018-01-01T00:00:00Z,Point(26.28 39.21),Ventotene,,Julia gens,,Germanicus,Agrippina the Elder
Christina of Bolsena,Bolsena,0300-01-01T00:00:00Z,Point(11.985833333 42.644722222),Bolsena,,,,,
Clodius Albinus,Hadrumetum,0150-01-01T00:00:00Z,Point(10.638888888 35.824444444),Lugdunum,Decimus,Clodia gens,Albinus,,
Julia of Corsica,Carthage,0420-01-01T00:00:00Z,Point(10.323461 36.852558),Corsica,,Julia gens,,,
Flavia Julia Constantia,Trier,t2083394491,Point(6.641388888 49.756666666),Constantinople,,Julia gens,,Constantius Chlorus,Flavia Maximiana Theodora
Fulvia Plautilla,Rome,0180-01-01T00:00:00Z,Point(12.482777777 41.893055555),Lipari,,Fulvia gens,,Gaius Fulvius Plautianus,
Domitia Longina,Rome,0055-01-01T00:00:00Z,Point(12.482777777 41.893055555),Gabii,,Domitia gens,,Gnaeus Domitius Corbulo,Cassia Longina
Domitia Longina,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),Gabii,,Domitia gens,,Gnaeus Domitius Corbulo,Cassia Longina
Cornelia Salonina,Bithynia,0300-01-01T00:00:00Z,Point(31.0 40.5),Milan,,Cornelia gens,,,
Julia Flavia,Rome,0064-09-13T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Flavia gens,,Titus,Marcia Furnilla
Pompeia Plotina,Nîmes,0065-01-01T00:00:00Z,Point(4.36 43.836944444),,,Pompeia gens,,,
Julia Drusilla,Confluentes,0018-09-16T00:00:00Z,Point(7.59528 50.3611),Rome,,Julia gens,Drusilla,Germanicus,Agrippina the Elder
Domitilla the Elder,Ferentium,0050-01-01T00:00:00Z,Point(12.1325 42.48861111),,,Flavia gens,Domitilla,Flavius Liberalis,
Julia Minor,Rome,-0125-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2262904839,,Julia gens,,Gaius Julius Caesar,Aurelia
Annia Faustina,Pisidia,0201-01-01T00:00:00Z,Point(31.016666666 38.3),,,Annia gens,,Tiberius Claudius Severus Proculus,Annia Faustina
Titus Flavius Sabinus,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Titus,Flavia gens,,Titus Flavius Sabinus,
Lucilla,Rome,0150-03-06T00:00:00Z,Point(12.482777777 41.893055555),Capri,,Galeria gens,,Marcus Aurelius,Faustina the Younger
Locusta,Gaul,0001-01-01T00:00:00Z,Point(2.9 46.5),Rome,,,,,
Lucullus,Rome,-0116-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Lucius,Licinia gens,,Lucius Licinius Lucullus,Caecilia Metella
Publius Papinius Statius,Naples,0045-01-01T00:00:00Z,Point(14.25 40.833333333),Naples,Publius,Statia gens,,,
Saint Denis,Geographical region of Italy,0201-01-01T00:00:00Z,Point(12.0 43.0),Lutetia,,,,,
Amelius,Etruria,0200-01-01T00:00:00Z,Point(11.838912 42.227871),,,,,,
Julius Paulus Prudentissimus,Padua,t2261955712,Point(11.877777777 45.406388888),,,Julia gens,,,
Maximus of Ephesus,Ephesus,0310-01-01T00:00:00Z,Point(27.348611 37.939722),Ephesus,,,,,
Marcus Furius Bibaculus,Cremona,-0102-01-01T00:00:00Z,Point(10.033333333 45.133333333),t2223874919,Marcus,Furia gens,,t2223874922,t2223874923
Lucius Marcius Philippus,ancient Rome,-0036-01-01T00:00:00Z,Point(12.48 41.89),t2255976120,Lucius,Marcia gens,,Lucius Marcius Philippus,t2255976118
Claudia Antonia,Rome,0030-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,Antonia gens,,Claudius,Aelia Paetina
Porcia,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),ancient Rome,,Porcia gens,,Cato the Younger,Atilia
Julia Cornelia Paula,Roman Syria,0300-01-01T00:00:00Z,Point(36.15 36.2),,,Cornelia gens,,,
Claudia Acte,Asia,0040-01-01T00:00:00Z,Point(28.3 38.4),,,,,,
Serena,Spain,0365-01-01T00:00:00Z,Point(-3.5 40.2),Rome,,Flavia gens,,,
Anicia Juliana,Constantinople,0462-01-01T00:00:00Z,Point(28.976018 41.01224),Constantinople,,Anicia gens,,Olybrius,Placidia
Anicia Juliana,Constantinople,0463-01-01T00:00:00Z,Point(28.976018 41.01224),Constantinople,,Anicia gens,,Olybrius,Placidia
Galeria Fundana,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),,,Galeria gens,,,
Publius Mucius Scaevola,ancient Rome,-0179-01-01T00:00:00Z,Point(12.48 41.89),t2269018584,Publius,Mucia gens,,Publius Mucius Scaevola,t2269018597
Publius Mucius Scaevola,ancient Rome,-0179-01-01T00:00:00Z,Point(12.48 41.89),t2269018587,Publius,Mucia gens,,Publius Mucius Scaevola,t2269018597
Optatus of Milevis,Mila,0400-01-01T00:00:00Z,Point(6.262222222 36.448055555),,,,,,
Salonia Matidia,Rome,0068-07-04T00:00:00Z,Point(12.482777777 41.893055555),,,,,Gaius Salonius Matidius Patruinus,Ulpia Marciana
Pontius Pilate's wife,Galilee,0006-01-01T00:00:00Z,Point(35.527 32.76),Rome,,Claudia gens,Procula,,
Libanius,Antioch on the Orontes,0314-01-01T00:00:00Z,Point(36.181666666 36.204722222),Antioch on the Orontes,,,,,
Libanius,Antioch on the Orontes,0315-01-01T00:00:00Z,Point(36.181666666 36.204722222),Antioch on the Orontes,,,,,
Lucius Valerius Flaccus,ancient Rome,-0101-01-01T00:00:00Z,Point(12.48 41.89),t2253580704,Lucius,Valeria gens,,t2253580703,t2253580710
Lucius Valerius Flaccus,ancient Rome,-0101-01-01T00:00:00Z,Point(12.48 41.89),t2253580711,Lucius,Valeria gens,,t2253580703,t2253580710
Quintus Caedicius Noctua,Rome,-0400-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2124864403,Quintus,Caedicia gens,,t2124864406,t2124864404
Pudentiana,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,,,Saint Pudens,
Domitia Lepida Minor,Rome,,Point(12.482777777 41.893055555),Rome,,Domitia gens,Lepida,Lucius Domitius Ahenobarbus,Antonia Major
Plautilla,Rome,0050-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,,,,
Cornelia Metella,ancient Rome,-0072-01-01T00:00:00Z,Point(12.48 41.89),t2228353318,,Cornelia gens,Metella,Quintus Caecilius Metellus Pius Scipio Nasica,Aemilia Lepida
Cornelia Metella,ancient Rome,-0072-01-01T00:00:00Z,Point(12.48 41.89),t2228353321,,Cornelia gens,Metella,Quintus Caecilius Metellus Pius Scipio Nasica,Aemilia Lepida
Gnaeus Julius Agricola,Fréjus,0040-07-11T00:00:00Z,Point(6.735555555 43.433055555),Rome,Gnaeus,Julia gens,Agricola,Lucius Julius Graecinus,Julia Procilla
Herennius Etruscus,Pannonia,0220-01-01T00:00:00Z,Point(19.02 44.9),Razgrad,Quintus,Herennia gens,,Decius,Herennia Etruscilla
Mucia Tertia,Rome,-0094-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2246768529,,Mucia gens,,Quintus Mucius Scaevola Pontifex,t2246768530
Eusebia,Thessaloniki,0400-01-01T00:00:00Z,Point(22.935555555 40.640277777),Thessaloniki,,,,Eusebius,
Seneca the Elder,Córdoba,-0053-01-01T00:00:00Z,Point(-4.766666666 37.883333333),Rome,Marcus,Annaea gens,,,
Saint Lea,Rome,0350-01-01T00:00:00Z,Point(12.482777777 41.893055555),Ostia,,,,,
Quintus Fabius Maximus Verrucosus,Rome,-0300-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Quintus,Fabia gens,Maximus,Quintus Fabius Maximus,t2251696267
Aurelius Victor,Africa,0320-01-01T00:00:00Z,Point(12.74 31.8),,Sextus,Aurelia gens,Victor,,
Publius Rutilius Lupus,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2249386107,Publius,Rutilia gens,Lupus,t2249386109,t2249386111
Publius Rutilius Lupus,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2249386110,Publius,Rutilia gens,Lupus,t2249386109,t2249386111
Quintus Caecilius Metellus Numidicus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2251689577,Quintus,Caecilia gens,Metellus,Lucius Caecilius Metellus Calvus,t2251689582
Quintus Caecilius Metellus Numidicus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2251689577,Quintus,Caecilia gens,Numidicus,Lucius Caecilius Metellus Calvus,t2251689582
Appius Claudius Crassus,ancient Rome,-0436-01-01T00:00:00Z,Point(12.48 41.89),t2164152595,Appius,Claudia gens,Crassus,Appius Claudius Sabinus,t2164152597
Appius Claudius Crassus,ancient Rome,-0436-01-01T00:00:00Z,Point(12.48 41.89),t2164152599,Appius,Claudia gens,Crassus,Appius Claudius Sabinus,t2164152597
Eulalia of Mérida,Mérida,0290-01-01T00:00:00Z,Point(-6.333333333 38.915833333),Mérida,,,,,
Philopappos,Samosata,0100-01-01T00:00:00Z,Point(38.481316666 37.57955),Athens,Gaius,Julia gens,,,
Marcus Atius Balbus,Ariccia,-0104-01-01T00:00:00Z,Point(12.666666666 41.716666666),t2262904371,Marcus,Atia gens,Balbus,Marcus Atius Balbus,Pompeia
Hosius of Corduba,Córdoba,0256-01-01T00:00:00Z,Point(-4.766666666 37.883333333),Sirmium,,,,,
Publius Cornelius Scipio Nasica Serapio,Rome,-0182-01-01T00:00:00Z,Point(12.482777777 41.893055555),Pergamon,Publius,Cornelia gens,Scipio,Publius Cornelius Scipio Nasica Corculum,Cornelia Africana Major
Publius Cornelius Scipio Nasica Serapio,Rome,-0182-01-01T00:00:00Z,Point(12.482777777 41.893055555),Pergamon,Publius,Cornelia gens,Nasica,Publius Cornelius Scipio Nasica Corculum,Cornelia Africana Major
Publius Volumnius Amintinus Gallus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164141383,Publius,Volumnia gens,,t2164141382,t2164141379
Lucius Cassius Longinus Ravilla,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2219826437,Lucius,Cassia gens,Longinus,Quintus Cassius Longinus,t2219826424
Valeria of Milan,Milan,0050-01-01T00:00:00Z,Point(9.19 45.466944444),Rome,,Valeria gens,,,
Sosipatra,Ephesus,0400-01-01T00:00:00Z,Point(27.348611 37.939722),,,,,,
Flavia Domitilla,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2228452109,,Petillia gens,Domitilla,,Domitilla the Younger
Aulus Gellius,Rome,0123-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Aulus,Gellia gens,,Aulus Gellius Celer,
Aulus Gellius,Rome,0125-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Aulus,Gellia gens,,Aulus Gellius Celer,
Aulus Gellius,Rome,0130-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Aulus,Gellia gens,,Aulus Gellius Celer,
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Albinus,Aulus Postumius Albinus,Sempronia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Brutus,Aulus Postumius Albinus,Sempronia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Albinus,Decimus Junius Brutus,Sempronia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Brutus,Decimus Junius Brutus,Sempronia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Albinus,Aulus Postumius Albinus,Postumia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Brutus,Aulus Postumius Albinus,Postumia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Albinus,Decimus Junius Brutus,Postumia
Decimus Junius Brutus Albinus,Rome,-0084-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2218994024,Decimus,Junia gens,Brutus,Decimus Junius Brutus,Postumia
Marcus Furius Camillus,ancient Rome,-0445-01-01T00:00:00Z,Point(12.48 41.89),t2222723231,Marcus,Furia gens,,Lucius Furius Medullinus,t2222723236
Sextus Pompey,Rome,t2207471687,Point(12.482777777 41.893055555),Miletus,Sextus,Pompeia gens,,Pompey,Mucia Tertia
Quintus Sertorius,Norcia,-0125-01-01T00:00:00Z,Point(13.093888888 42.793333333),Huesca,Quintus,Sertoria gens,,t2248167635,t2248167634
Frontinus,Gallia Narbonensis,0030-01-01T00:00:00Z,Point(4.0 44.0),,Sextus,Julia gens,,,
Pomponius Mela,Algeciras,0015-01-01T00:00:00Z,Point(-5.453888888 36.1275),Rome,,Pomponia gens,,,
Appius Claudius Caecus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2144648765,Appius,Claudia gens,,Gaius Claudius Crassus Inrelligensis,t2144648759
Gaius Caesar,Rome,-0019-01-01T00:00:00Z,Point(12.482777777 41.893055555),Lycia,Gaius,Julia gens,Caesar,Augustus,Julia the Elder
